feature,importance
STRUCTURE_INDEX,0.11839482
AGEB_TLSO,0.07154299
BA_PER_SI,0.056500968
LOG_BA,0.05009848
HT_TLSO,0.04966528
BA_RATIO,0.043747846
TOTAL_VOLUME,0.0433031
HEIGHT_SI_RATIO,0.042793382
BA_HA_LS,0.041182075
AGE_CLASS,0.036236316
BEC_ZONE,0.034754697
TOTAL_BA,0.034733895
LOG_VOLUME,0.03457301
HEIGHT_CLASS,0.034535885
VHA_WSV_LS,0.034382693
BA_PER_STEM,0.03224554
SI_CLASS,0.03137814
TOTAL_STEMS,0.030291902
STEMS_RATIO,0.029698124
STEMS_HA_LS,0.027868431
VOLUME_RATIO,0.026920715
AGE_HEIGHT_RATIO,0.02566111
SI_M_TLSO,0.024849085
STEMS_PER_SI,0.018472338
VOLUME_PER_STEM,0.015343105
LOG_STEMS,0.010826057
